id,name,is_representative,prototypicality,familiarity,valence_raw,arousal_raw,valence,arousal,category,source
E267,안락하다,False,4.56,4.5,5.41,1.9,0.47,-0.7,긍정,KSPPA_2005
E268,연정,False,3.97,4.05,4.92,3.63,0.3067,-0.1233,긍정,KSPPA_2005
E269,안심,False,4.45,5.03,5.0,2.39,0.3333,-0.5367,긍정,KSPPA_2005
E270,열광하다,True,4.87,4.61,5.52,6.66,0.5067,0.8867,긍정,KSPPA_2005
E271,안쓰럽다,False,4.61,5.1,2.97,3.34,-0.3433,-0.22,부정,KSPPA_2005
E272,열등감,True,4.04,5.03,1.86,4.86,-0.7133,0.2867,부정,KSPPA_2005
E273,안정되다,False,4.81,5.5,5.11,2.31,0.37,-0.5633,긍정,KSPPA_2005
E274,열애,False,3.88,4.25,5.07,5.73,0.3567,0.5767,긍정,KSPPA_2005
E275,안타깝다,True,4.82,5.56,2.95,3.52,-0.35,-0.16,부정,KSPPA_2005
E276,열정,False,4.79,5.18,5.51,5.74,0.5033,0.58,긍정,KSPPA_2005
E277,암담하다,False,4.18,4.53,1.79,3.33,-0.7367,-0.2233,부정,KSPPA_2005
E278,염려하다,False,4.15,4.96,2.76,3.95,-0.4133,-0.0167,부정,KSPPA_2005
E279,암울하다,False,3.81,4.38,1.98,3.31,-0.6733,-0.23,부정,KSPPA_2005
E280,영광스럽다,False,5.0,5.02,5.99,5.2,0.6633,0.4,긍정,KSPPA_2005
E281,애,False,3.35,3.48,4.63,3.99,0.21,-0.0033,긍정,KSPPA_2005
E282,영예롭다,False,3.87,3.89,5.26,4.62,0.42,0.2067,긍정,KSPPA_2005
E283,애끓다,False,4.02,3.82,2.94,5.33,-0.3533,0.4433,부정,KSPPA_2005
E284,온정,False,4.01,4.02,5.11,3.09,0.37,-0.3033,긍정,KSPPA_2005
E285,애달프다,False,4.21,4.17,2.95,4.02,-0.35,0.0067,부정,KSPPA_2005
E286,외롭다,True,5.02,5.66,2.28,2.76,-0.5733,-0.4133,부정,KSPPA_2005
E287,애닯다,False,3.68,3.56,3.14,3.88,-0.2867,-0.04,부정,KSPPA_2005
E288,우려하다,False,3.69,4.51,2.59,3.95,-0.47,-0.0167,부정,KSPPA_2005
E289,애도하다,False,3.74,4.16,2.96,3.32,-0.3467,-0.2267,부정,KSPPA_2005
E290,우수,False,3.69,3.77,4.28,3.38,0.0933,-0.2067,긍정,KSPPA_2005
E291,애련,False,3.5,3.38,3.49,4.01,-0.17,0.0033,부정,KSPPA_2005
E292,우습다,True,4.46,5.71,3.72,4.44,-0.0933,0.1467,부정,KSPPA_2005
E293,애석하다,False,3.91,4.26,2.67,3.78,-0.4433,-0.0733,부정,KSPPA_2005
E294,우울하다,True,4.94,5.81,2.49,2.8,-0.5033,-0.4,부정,KSPPA_2005
E295,애수,False,3.71,3.63,3.93,3.69,-0.0233,-0.1033,중립,KSPPA_2005
E296,우쭐하다,False,4.02,4.39,3.46,4.27,-0.18,0.09,부정,KSPPA_2005
E297,울분,False,3.97,4.13,2.37,5.74,-0.5433,0.58,부정,KSPPA_2005
E298,정답다,False,5.01,5.15,5.32,3.97,0.44,-0.01,긍정,KSPPA_2005
E299,울적하다,False,4.31,4.55,2.56,2.63,-0.48,-0.4567,부정,KSPPA_2005
E300,정욕,False,3.56,4.09,3.72,5.91,-0.0933,0.6367,부정,KSPPA_2005
E301,울화,False,3.4,3.92,1.87,5.51,-0.71,0.5033,부정,KSPPA_2005
E302,정한,False,3.03,2.43,3.35,3.79,-0.2167,-0.07,부정,KSPPA_2005
E303,울화통,False,3.75,4.14,1.29,5.93,-0.9033,0.6433,부정,KSPPA_2005
E304,조마조마하다,False,4.57,4.92,2.96,5.28,-0.3467,0.4267,부정,KSPPA_2005
E305,원망하다,False,4.4,5.24,1.86,4.63,-0.7133,0.21,부정,KSPPA_2005
E306,조바심,False,4.04,4.24,2.8,5.21,-0.4,0.4033,부정,KSPPA_2005
E307,원통하다,False,4.05,4.15,1.85,5.22,-0.7167,0.4067,부정,KSPPA_2005
E308,좋다,True,5.9,6.12,5.54,5.13,0.5133,0.3767,긍정,KSPPA_2005
E309,원한,False,3.72,4.36,1.87,5.61,-0.71,0.5367,부정,KSPPA_2005
E310,좌절하다,False,3.82,5.01,1.87,3.7,-0.71,-0.1,부정,KSPPA_2005
E311,위압감,False,3.62,4.08,2.32,4.98,-0.56,0.3267,부정,KSPPA_2005
E312,죄송스럽다,False,4.44,5.56,2.68,3.89,-0.44,-0.0367,부정,KSPPA_2005
E313,위축감,False,3.32,3.73,2.55,3.67,-0.4833,-0.11,부정,KSPPA_2005
E314,죄스럽다,False,3.66,3.71,2.2,3.94,-0.6,-0.02,부정,KSPPA_2005
E315,위화감,False,3.38,3.92,2.65,4.56,-0.45,0.1867,부정,KSPPA_2005
E316,죄의식,False,3.45,4.42,2.03,4.12,-0.6567,0.04,부정,KSPPA_2005
E317,유감,False,4.11,4.79,2.72,4.16,-0.4267,0.0533,부정,KSPPA_2005
E318,죄책감,True,4.08,4.83,2.13,4.07,-0.6233,0.0233,부정,KSPPA_2005
E319,유쾌하다,True,5.13,5.51,5.58,5.37,0.5267,0.4567,긍정,KSPPA_2005
E320,주눅들다,True,4.18,4.6,2.3,2.79,-0.5667,-0.4033,부정,KSPPA_2005
E321,음울하다,False,3.25,3.34,2.07,3.08,-0.6433,-0.3067,부정,KSPPA_2005
E322,즐겁다,True,5.87,6.09,5.89,5.54,0.63,0.5133,긍정,KSPPA_2005
E323,의기소침하다,False,4.11,4.6,2.51,2.79,-0.4967,-0.4033,부정,KSPPA_2005
E324,즐기다,False,4.72,5.93,5.57,5.14,0.5233,0.38,긍정,KSPPA_2005
E325,의기양양하다,False,4.66,4.74,4.92,5.24,0.3067,0.4133,긍정,KSPPA_2005
E326,증오하다,True,4.54,5.18,1.75,5.85,-0.75,0.6167,부정,KSPPA_2005
E327,의분,False,2.84,2.54,3.38,4.39,-0.2067,0.13,부정,KSPPA_2005
